         2037790 function calls (2019726 primitive calls) in 2.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:23(LazySettings)
        1    0.000    0.000    0.026    0.026 __init__.py:23(autodiscover)
        1    0.000    0.000    0.001    0.001 __init__.py:23(get_loader_cls)
        1    0.000    0.000    0.000    0.000 __init__.py:230(SignatureDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:2306(URLField)
        8    0.000    0.000    0.001    0.000 __init__.py:2310(__init__)
      104    0.000    0.000    0.017    0.000 __init__.py:2328(_version_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:2330(BinaryField)
      312    0.000    0.000    0.000    0.000 __init__.py:2333(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:2334(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2340(Distribution)
      312    0.001    0.000    0.019    0.000 __init__.py:2344(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
      312    0.002    0.000    0.042    0.000 __init__.py:2356(from_location)
        4    0.000    0.000    0.000    0.000 __init__.py:237(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2373(UUIDField)
      208    0.000    0.000    0.000    0.000 __init__.py:2373(_reload_version)
        2    0.001    0.001    0.003    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
      929    0.001    0.000    0.002    0.000 __init__.py:2415(key)
        1    0.000    0.000    0.000    0.000 __init__.py:245(get_supported_platform)
        2    0.000    0.000    0.000    0.000 __init__.py:2456(version)
        1    0.000    0.000    0.000    0.000 __init__.py:248(EscapeFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:25(CQLEngineException)
        1    0.000    0.000    0.000    0.000 __init__.py:25(Markup)
        5    0.000    0.000    0.000    0.000 __init__.py:25(_ghettoq)
        1    0.000    0.000    0.002    0.002 __init__.py:25(as_choices)
      893    0.002    0.000    0.020    0.000 __init__.py:2501(_get_metadata)
      154    0.001    0.000    0.010    0.000 __init__.py:2506(activate)
        1    0.000    0.000    0.000    0.000 __init__.py:252(UUIDVersionError)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:253(UserFunctionDescriptor)
     1013    0.001    0.000    0.002    0.000 __init__.py:2542(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:256(UUIDField)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_bool)
      154    0.001    0.000    0.121    0.001 __init__.py:2571(get_entry_map)
      154    0.001    0.000    0.003    0.000 __init__.py:2587(insert_on)
        2    0.002    0.001    0.006    0.003 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2673(EggInfoDistribution)
      104    0.000    0.000    0.018    0.000 __init__.py:2675(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:269(UserAggregateDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:2693(DistInfoDistribution)
        2    0.000    0.000    0.001    0.000 __init__.py:27(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:27(ForeignKeyAutocompleteAdmin)
        3    0.000    0.000    0.000    0.000 __init__.py:27(permalink)
        8    0.000    0.000    0.000    0.000 __init__.py:270(u)
        1    0.000    0.000    2.337    2.337 __init__.py:273(execute)
       55    0.000    0.000    0.000    0.000 __init__.py:273(u_safe)
        1    0.000    0.000    0.000    0.000 __init__.py:275(_MarkupEscapeHelper)
